 ,Site,Latitude,Longitude,Time,Transect,Healthy_P_damicornis,Pale_P_damicornis,Bleached_P_damicornis,Healthy_P_verricosa,Pale_P_verricose,Bleached_P_verricosa,Healthy_Psammocora_stellata,Pale_P_stellata,Bleached_P_stellata,COTS_damage,Standing_dead_coral_no_turf,Standing_dead_coral_with_turf,Unconsolidated_rubble_with_turf,Unconsolidated_rubble_with_CCA,Fleshy_algae,CCA,Sand,Healthy_Porites_lobata,Total
P,Contadora,8.631,-79.028,Spring 2019,1,85,8,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,100
P,Contadora,8.631,-79.028,Spring 2019,2,66,12,0,2,0,0,0,0,0,0,0,10,2,8,0,0,0,0,100
P,Contadora,8.631,-79.028,Spring 2019,3,54,26,0,0,0,0,0,0,0,0,0,6,6,8,0,0,0,0,100
P,Contadora,8.631,-79.028,Spring 2019,4,70,5,0,2,0,0,0,0,0,0,0,8,5,10,0,0,0,0,100
P,Contadora,8.631,-79.028,Spring 2019,5,83,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,100
P,Contadora,8.631,-79.028,Spring 2019,6,70,4,0,5,0,0,0,0,0,0,0,0,0,10,0,0,5,6,100
P,Saboga,8.627,-79.053,Spring 2019,1,56,0,0,0,0,0,0,0,0,0,0,2,15,27,0,0,0,0,100
P,Saboga,8.627,-79.053,Spring 2019,2,41,0,0,0,0,0,0,0,0,0,0,2,17,40,0,0,0,0,100
P,Saboga,8.627,-79.053,Spring 2019,3,66,0,0,0,0,0,0,0,0,0,0,0,8,26,0,0,0,0,100
P,Saboga,8.627,-79.053,Spring 2019,4,80,0,0,0,0,0,0,0,0,0,0,8,8,4,0,0,0,0,100
P,Saboga,8.627,-79.053,Spring 2019,5,38,0,0,0,0,0,0,0,0,0,0,30,22,10,0,0,0,0,100
P,Saboga,8.627,-79.053,Spring 2019,6,15,0,0,0,0,0,0,0,0,0,0,65,0,20,0,0,0,0,100
P,Pedro Gonzalez,8.423,-79.109,Spring 2019,1,89,0,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,99
P,Pedro Gonzalez,8.423,-79.109,Spring 2019,2,72,0,0,0,0,0,0,0,0,0,0,23,4,0,1,0,0,0,100
P,Pedro Gonzalez,8.423,-79.109,Spring 2019,3,53,0,0,0,0,0,0,0,0,0,0,33,14,0,0,0,0,0,100
P,Pedro Gonzalez,8.423,-79.109,Spring 2019,4,79,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,101
P,Pedro Gonzalez,8.423,-79.109,Spring 2019,5,81,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,101
P,Pedro Gonzalez,8.423,-79.109,Spring 2019,6,67,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,100
C,Canales de Tierra,7.75,-81.582,Spring 2019,1,0,0,0,3,nd,0,0,0,0,0,3,0,68,21,4,0,0,0,99
C,Canales de Tierra,7.75,-81.582,Spring 2019,2,0,0,0,6,0,0,0,0,0,0,0,0,11,75,8,0,0,0,100
C,Canales de Tierra,7.75,-81.582,Spring 2019,3,0,0,0,0,1,0,0,0,0,0,3,9,54,32,0,0,0,0,99
C,Canales de Tierra,7.75,-81.582,Spring 2019,4,0,0,0,1,0,0,0,0,0,0,1,8,66,25,0,0,0,0,101
C,Canales de Tierra,7.75,-81.582,Spring 2019,5,0,0,0,0,0,0,0,0,0,0,2,17,80,0,0,0,0,0,99
C,Canales de Tierra,7.75,-81.582,Spring 2019,6,1,0,0,0,0,0,0,0,0,0,2,12,85,0,0,0,0,0,100
C,Coiba,7.403,-81.665,Spring 2019,1,0,0,0,1,0,0,0,0,0,0,1,33,63,3,0,0,0,0,101
C,Coiba,7.403,-81.665,Spring 2019,2,0,0,0,4,1,0,0,0,0,0,1,22,72,0,0,0,0,0,100
C,Coiba,7.403,-81.665,Spring 2019,3,0,0,0,5,6,0,0,0,0,0,2,23,65,0,0,0,0,0,101
C,Coiba,7.403,-81.665,Spring 2019,4,0,0,0,4,4,0,0,0,0,0,2,7,62,9,8,0,0,0,96
C,Coiba,7.403,-81.665,Spring 2019,5,0,0,0,6,3,0,0,0,0,0,0,0,51,16,21,0,0,0,97
C,Coiba,7.403,-81.665,Spring 2019,6,0,0,0,14,4,0,0,0,0,0,0,0,52,8,21,0,0,0,99
C,Uva,7.815,-81.758,Spring 2019,1,0,0,0,40,2,0,0,0,0,0,1,4,29,0,23,1,0,0,100
C,Uva,7.815,-81.758,Spring 2019,2,0,0,0,53,6,0,0,0,0,0,0,17,3,29,0,0,1,0,109
C,Uva,7.815,-81.758,Spring 2019,3,7,0,0,22,0,0,0,0,0,0,0,0,15,30,24,0,0,0,98
C,Uva,7.815,-81.758,Spring 2019,4,36,3,0,0,0,0,0,0,0,0,9,43,14,2,0,0,0,0,107
C,Uva,7.815,-81.758,Spring 2019,5,38,4,0,4,1,0,0,0,0,0,1,14,36,1,0,0,0,0,99
C,Uva,7.815,-81.758,Spring 2019,6,18,7,1,2,0,0,10,1,0,0,2,10,49,0,0,0,0,0,100
